"x"
0
0
0
0.5
0
0
0
0.5
0
0
0
0
0
0
0
0
0
0
0
6.5
0
0
0
0
0
3
0
0
0
18
0
0
0.5
0
0
0
0
2
0
0
0
0
0
1
15.5
0
0
0
0
0
0
0
5
6.5
0
0
13
0
0
0
0
0
0
0
0
4.5
2.5
0
0
1.5
0
1.6
0
0
0
0
0
0
3
0
0
0
0
0
0
2
0.5
0
0
3.5
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
4
2
0.5
0
0
0.5
0
0
0
78.5
1.5
0
0
0.5
6.5
48.5
4
0.5
0
15
0
0
0
0
0
0
0
0
0
2
0
0
0
0.5
0
0
0
0
0
0
0
0
3.5
0
0
0.5
4
0
0
0
0
0
0
0
0
0
0
0
7
0
0
0
2.5
0
2
0
0
0
25
0
0
4.5
0
0
0
0
0.5
0
0
0
0
0
0.5
12
0
0
0
0
0
0
0
3
11.5
0
0
15
0
0
0
0
0
0
0
0
0
3.5
0
0
3
0
1
0
0
0
0
0
0
35.5
1.5
0
0
0
0
0
5
0.5
0
1.5
3
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
3.5
0
0
0
0
6.5
2.5
0
0
0
0
0
0
0
45.5
2.5
0
0
1
40
25.5
0.5
19
0
13
0
0
0
0
0
0
0
0
0
0
0
0
0
5
0
0
0
0
0
NA
NA
NA
0.2
0.3
NA
NA
1.1
NA
NA
NA
NA
1.3
NA
NA
NA
NA
NA
NA
4.7
NA
NA
NA
NA
NA
2.8
NA
NA
NA
20.2
NA
NA
0.8
NA
NA
NA
NA
2.7
0.8
0.2
0
NA
NA
0.2
27.4
0
NA
NA
NA
NA
NA
NA
4.2
7.9
NA
NA
16.2
NA
NA
0
NA
NA
NA
NA
NA
0.2
5.5
NA
0.2
1.6
NA
NA
NA
NA
NA
NA
NA
NA
29.1
0
NA
NA
NA
NA
NA
2.9
0.3
NA
0.3
3.1
NA
NA
0
NA
NA
0.2
0
NA
1.9
0.4
NA
NA
NA
0
0
NA
NA
0
NA
NA
NA
0
NA
NA
0
NA
2.9
4.6
0.3
0.2
NA
0.3
NA
NA
NA
69.5
1.3
0
NA
0.2
8
50.9
1.9
0.2
NA
15.7
NA
NA
NA
NA
NA
NA
0
NA
NA
7.8
NA
0.2
NA
0.2
NA
NA
NA
NA
0
0
0
0
6
1.5
0
0
8
0
0
3
0
19
0
0
0
0
0
0
0.5
0
0
0
0
0
5.5
0
0
0
19.5
0
0
0
0
0
0
0
0
0
0
0
0
0
0.5
22.5
0
0
0
0
0
0
0
2
7.5
0
0
12
0
0
0
0
2.5
0
0
0
0
0
0
2.5
1.5
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
5
0.5
0
0.5
4
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
7.5
0
2
0.5
0
0
0
0
0
0
0
141.5
0
0
0
0
2.5
99.5
15
4
1.5
27
0
0
0
0
0
0
0
0
0
2.5
0
0
0
0
0
0
0
0
0
