site_No.	date	avg_temp	low_temp	low_temp_hhmm	high_temp	high_temp_hhmm	precipitation	max_wind_speed	avg_wind_speed	degree_of_max_wind_speed	year	month	site	PM	Li_ppm	_ppm	NH4_ppm	K_ppm	Mg_ppm	Ca_ppm	F_ppm	Cl_ppm	NO2_ppm	Br_ppm	NO3_ppm	PO4_ppm	SO4_ppm	Li	NA	NH4	K	Mg	Ca	F	Cl	NO2	Br	NO3	PO4	SO4	Li_eq	_eq	NH4_eq	K_eq	Mg_eq	Ca_eq	F_eq	Cl_eq	NO2_eq	Br_eq	NO3_eq	PO4_eq	SO4_eq	Pb	Cd	Cr	Cu	Mn	Fe	Ni	As	Be	Al	Ca_M	Mg_M	OC	EC	TC
545	2015-06-08	20.3	13.7	250	26.6	1439	0	6.7	0.7	273.7	2015	6	Ansan	68	0	1.95	8.201	0.531	0.274	1.354	0	0.198	0	0.196	4.048	0	28.54	0	0.805	3.384	0.219	0.113	0.559	0	0.082	0	0.081	1.671	0	11.777	0	0.34	1.819	0.054	0.09	0.279	0	0.024	0	0.011	0.261	0	2.379	0.0682	0.0018	0.012	0.0661	0.0351	0.7829	0.0082	0.002	0	0.6881	0.764	0.2582	5.24	0.78	6.02
545	2015-06-09	19.7	14.9	2323	26.6	1336	0	8.8	1.2	286.3	2015	6	Ansan	77.6	0.014	1.259	14.902	0.767	0.327	1.494	0	0.36	0	0.327	17.467	0	38.602	0.005	0.498	5.898	0.304	0.129	0.591	0	0.143	0	0.129	6.913	0	15.278	0.008	0.22	3.305	0.079	0.108	0.307	0	0.042	0	0.017	1.127	0	3.217	0.2478	0.0046	0.0107	0.192	0.0662	0.8978	0.009	0.0046	0	0.4716	0.494	0.1717	4.48	0.9	5.38
545	2015-06-10	21.4	12.6	334	32.1	1320	0	7.6	0.9	285.5	2015	6	Ansan	80.6	0	1.045	8.734	0.303	0.154	0.651	0	0.247	0	0.148	17.795	0	14.274	0	0.888	7.423	0.257	0.131	0.553	0	0.21	0	0.126	15.124	0	12.131	0	0.182	1.937	0.031	0.051	0.139	0	0.029	0	0.008	1.148	0	1.191	0.0376	0	0.0112	0.0292	0.0167	0.5798	0.0055	0	0	0.5054	0.7685	0.2715	8.04	0.82	8.85
545	2015-06-11	22.1	15.3	438	28	1135	0.5	8.2	0.7	91.7	2015	6	Ansan	75.6	0	0.612	11.445	0.594	0.205	1.445	0	0.22	0	0.2	15.034	0	25.349	0	0.243	4.545	0.236	0.081	0.574	0	0.088	0	0.079	5.97	0	10.066	0	0.107	2.538	0.061	0.067	0.297	0	0.026	0	0.011	0.97	0	2.113	0.03	0.0018	0.0081	0.0381	0.0321	0.7922	0.0064	0.0025	0	0.5532	0.5337	0.1571	10.37	0.98	11.35
545	2015-06-12	22.7	17.4	515	30.1	1406	0	9.7	1	292.6	2015	6	Ansan	50.8	0	1.01	6.745	0.311	0.168	0.822	0	0.176	0	0.124	6.513	0	17.529	0	0.737	4.918	0.227	0.122	0.599	0	0.128	0	0.091	4.748	0	12.78	0	0.177	1.496	0.032	0.055	0.173	0	0.021	0	0.007	0.42	0	1.462	0.0176	0	0.011	0.3422	0.026	0.5394	0.0065	0	0	0.4455	0.7411	0.2594	4.83	0.46	5.3
545	2015-07-06	22.1	15.3	552	29.2	1221	0	7	0.9	288.2	2015	7	Ansan	42.5	0	0.866	3.953	0.498	0.302	1.899	0	0.452	0	0.203	3.375	0	14.941	0	0.344	1.57	0.198	0.12	0.754	0	0.18	0	0.081	1.34	0	5.933	0	0.151	0.877	0.051	0.099	0.379	0	0.052	0	0.011	0.219	0	1.246	0.0961	0.0104	0.0212	0.1081	0.0512	0.8775	0.0117	0.0025	0	0.5205	0.8065	0.1844	4.23	1.16	5.39
545	2015-07-07	22.9	16.9	524	28.5	1555	0	4.8	0.6	162.8	2015	7	Ansan	45.7	0	0.75	6.314	0.423	0.209	1.206	0	0.735	0	0.148	8.155	0	14.153	0	0.298	2.511	0.168	0.083	0.479	0	0.292	0	0.059	3.243	0	5.627	0	0.131	1.4	0.043	0.069	0.241	0	0.084	0	0.008	0.527	0	1.18	0.0253	0.0012	0.0053	0.0365	0.0292	0.7557	0.005	0.0022	0	0.5583	0.5569	0.1483	6.02	1.36	7.38
545	2015-07-08	22.6	18.3	300	25.8	1612	0.5	7.6	1.3	86.3	2015	7	Ansan	24.5	0	0.354	1.355	0.176	0.083	0.688	0	1.095	0	0.08	3.148	0	2.187	0	0.14	0.537	0.07	0.033	0.273	0	0.434	0	0.032	1.247	0	0.866	0	0.062	0.3	0.018	0.027	0.137	0	0.125	0	0.004	0.204	0	0.183	0.0046	0.0001	0.0034	0.0053	0.021	0.2743	0.0007	0.0005	0	0.1214	0.2093	0.0369	3.64	0.66	4.3
545	2015-07-09	25.4	21	538	32.3	1321	0	6.6	1.2	109.9	2015	7	Ansan	21.8	0	0.247	0.619	0.179	0.081	0.483	0	0.435	0	0.087	2.06	0	1.426	0	0.098	0.246	0.071	0.032	0.192	0	0.173	0	0.035	0.82	0	0.567	0	0.043	0.137	0.018	0.027	0.096	0	0.05	0	0.005	0.134	0	0.12	0.0065	0.0003	0.0027	0.0047	0.0134	0.3066	0.0026	0.0006	0	0.2079	0.2741	0.0529	3.57	0.58	4.15
545	2015-07-10	26.1	19.6	523	33.3	1531	0	6.1	0.9	290.7	2015	7	Ansan	59.3	0	0.698	5.812	0.361	0.161	1.451	0	1.211	0	0.314	14.026	0	7.715	0	0.279	2.322	0.144	0.064	0.579	0	0.484	0	0.125	5.603	0	3.082	0	0.122	1.289	0.037	0.053	0.29	0	0.138	0	0.016	0.906	0	0.644	0.1014	0.0062	0.0124	0.1044	0.0449	0.7252	0.0069	0.0022	0	0.369	0.5117	0.1035	7.94	1.48	9.42
545	2015-08-11	24.9	20.6	44	29.6	1433	0	3.8	0.2	170.9	2015	8	Ansan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
545	2015-08-12	25.2	19.4	553	31.2	1209	0	7.1	0.9	263.7	2015	8	Ansan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
545	2015-08-13	25.7	21.4	129	30.6	1436	0	7.6	1	284.2	2015	8	Ansan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
545	2015-08-14	25.5	21.4	2340	30.8	1343	0	7.8	0.9	290.9	2015	8	Ansan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
545	2015-08-15	25.2	20.5	557	30.9	1321	0	6.6	0.6	281	2015	8	Ansan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
545	2015-09-07	20.2	12.9	606	27.9	1453	0	5.5	0.5	147.4	2015	9	Ansan	32.6	0	0.913	0.336	0.249	0.155	1.884	0	1.272	0	0.189	3.383	0	2.307	0	0.361	0.133	0.099	0.061	0.746	0	0.504	0	0.075	1.34	0	0.914	0	0.159	0.074	0.026	0.051	0.376	0	0.144	0	0.01	0.219	0	0.192	0.00846	0.00015	0.00432	0.02322	0.03098	0.69143	0.00676	0.00062	0	0.384	0.90713	0.11724	4.94	1.23	6.17
545	2015-09-08	19.5	11.5	626	28.2	1412	0	5.5	0.4	86.4	2015	9	Ansan	24.4	0	0.602	0.448	0.212	0.093	1.346	0	1.046	0	0.19	2.192	0	2.323	0	0.241	0.179	0.085	0.037	0.538	0	0.418	0	0.076	0.876	0	0.929	0	0.105	0.099	0.022	0.031	0.269	0	0.119	0	0.01	0.142	0	0.193	0.01119	0.00024	0.00823	0.03163	0.02859	0.78213	0.00782	0.00052	0	0.45994	0.69969	0.11285	4.94	1.12	6.06
545	2015-09-09	20.8	9.9	620	29.1	1447	0	6.6	0.8	26.9	2015	9	Ansan	21.8	0	1.401	0.382	0.291	0.169	1.582	0	1.234	0	0.189	3.675	0	2.969	0	0.553	0.151	0.115	0.067	0.625	0	0.487	0	0.075	1.452	0	1.173	0	0.244	0.085	0.03	0.056	0.316	0	0.14	0	0.01	0.238	0	0.247	0.01528	0.00024	0.0068	0.02262	0.03819	0.79444	0.00648	0.00077	0	0.42333	0.64847	0.14842	4.13	1.11	5.24
545	2015-09-10	20	12.3	630	26.1	1348	0	7.4	0.8	281.9	2015	9	Ansan	44.5	0	2.925	0.633	0.604	0.51	4.636	0	2.406	0	0.21	8.991	0	8.596	0	1.175	0.254	0.243	0.205	1.862	0	0.966	0	0.085	3.611	0	3.452	0	0.509	0.14	0.062	0.168	0.925	0	0.272	0	0.011	0.58	0	0.716	0.04339	0.00118	0.01205	0.15291	0.07207	1.22129	0.00718	0.00328	0	0.79342	2.15465	0.38603	5.79	1.48	7.27
545	2015-09-11	19.9	16	2114	25.4	1022	6.5	6	0.7	288.3	2015	9	Ansan	83.8	0	1.819	1.747	1.85	0.822	14.685	0	6.783	0	0.271	22.824	0	20.334	0	0.729	0.7	0.741	0.329	5.882	0	2.717	0	0.108	9.142	0	8.144	0	0.317	0.387	0.189	0.27	2.931	0	0.766	0	0.014	1.473	0	1.693	0.08448	0.00291	0.01399	0.08561	0.2019	2.21721	0.0096	0.00552	0	1.37753	6.08892	0.61437	5.96	1.77	7.73
545	2015-10-05	14.8	6.9	629	23.7	1317	0	6.3	0.6	267.7	2015	10	Ansan	45.5	0	0.523	0.171	0.423	1.788	0.267	0	0.63	0	0.118	2.656	0	3.84	0	0.306	0.1	0.248	1.045	0.156	0	0.369	0	0.069	1.553	0	2.245	0	0.092	0.038	0.044	0.602	0.053	0	0.072	0	0.006	0.172	0	0.321	0.0682	0.0015	0.0218	0.0764	0.0533	1.2057	0.0215	0.0024	0	0.7123	1.2109	1.2371	6.89	2.48	9.37
545	2015-10-06	15.1	6.9	647	24.8	1310	0	7	0.6	272.8	2015	10	Ansan	69.4	0	0.676	2.342	0.494	1.836	0.216	0	0.783	0	0.146	8.009	0	6.259	0	0.397	1.377	0.29	1.08	0.127	0	0.46	0	0.086	4.71	0	3.68	0	0.119	0.519	0.051	0.618	0.043	0	0.09	0	0.008	0.517	0	0.523	0.0614	0.0024	0.0372	0.1058	0.0574	1.2364	0.0177	0.0023	0	0.4415	0.8987	0.8806	11.55	2.16	13.71
545	2015-10-07	16.7	9.1	547	25	1331	0	4.4	0.4	273.4	2015	10	Ansan	89.4	0	0.898	9.488	0.76	2.721	0.282	0	5.176	0	0.214	26.002	0	10.52	0	0.53	5.598	0.448	1.605	0.166	0	3.054	0	0.126	15.342	0	6.207	0	0.157	2.104	0.078	0.909	0.056	0	0.585	0	0.011	1.678	0	0.877	0.0684	0.0022	0.0145	0.1434	0.0933	1.6112	0.0151	0.0035	0	0.7265	1.171	1.172	16.23	1.61	17.84
545	2015-10-08	17.7	10.8	511	24.1	1304	0	7.6	1.1	271.8	2015	10	Ansan	84.5	0	0.991	6.716	0.726	3.3	0.319	0	6.039	0	0.234	12.414	0	12.21	0	0.587	3.979	0.43	1.955	0.189	0	3.578	0	0.139	7.355	0	7.234	0	0.174	1.489	0.075	1.1	0.064	0	0.683	0	0.012	0.802	0	1.018	0.0747	0.0066	0.0143	0.1527	0.0589	1.2926	0.0095	0.0054	0	0.8445	1.5883	1.6049	16.28	1.74	18.02
545	2015-10-09	14.8	8.6	2143	19.3	1028	0	10.5	2.2	275.8	2015	10	Ansan	44	0	0.881	0.648	0.315	1.98	0.244	0	1.318	0	0.104	2.894	0	4.724	0	0.519	0.382	0.185	1.166	0.144	0	0.776	0	0.061	1.704	0	2.782	0	0.154	0.144	0.033	0.665	0.049	0	0.15	0	0.006	0.187	0	0.395	0.0343	0.0018	0.003	0.2067	0.0364	1.1349	0.0031	0.0033	0	1.0762	1.4956	1.5225	4.23	1.2	5.42
545	2015-11-09	11.8	10.2	438	14	1358	3	5.5	1.1	277.6	2015	11	Ansan	29.4	0	0.195	2.719	0.469	0.553	0.091	0	0.263	0	0.103	4.277	0	6.062	0	0.113	1.583	0.273	0.322	0.053	0	0.153	0	0.06	2.489	0	3.529	0	0.036	0.603	0.049	0.2	0.019	0	0.032	0	0.006	0.276	0	0.507	0.0179	0.0018	0.0056	0.052	0.0493	0.7024	0.0041	0.002	0	0.1517	0.2981	0.0588	5.64	1.22	6.86
545	2015-11-10	8.9	4.1	2336	13.9	1405	0	5.9	1.2	260.8	2015	11	Ansan	91.6	0	0.392	13.439	2.27	0.993	0.144	0	7.248	0	0.229	20.386	0	14.642	0	0.228	7.806	1.319	0.577	0.084	0	4.21	0	0.133	11.841	0	8.504	0	0.071	2.98	0.233	0.345	0.029	0	0.82	0	0.012	1.315	0	1.221	0.0561	0.0023	0.0111	0.0945	0.0586	1.0557	0.0077	0.0102	0	0.3231	0.53	0.1149	17.32	2.24	19.55
545	2015-11-11	8.8	3.5	609	16.3	1434	0	3.5	0.6	280.9	2015	11	Ansan	131.2	0	0.629	18.658	1.773	1.757	0.179	0	10.661	0	0.282	42.293	0	13.857	0	0.366	10.844	1.031	1.021	0.104	0	6.196	0	0.164	24.581	0	8.054	0	0.112	4.137	0.182	0.596	0.036	0	1.205	0	0.015	2.729	0	1.156	0.0543	0.002	0.0197	0.0964	0.1176	1.9083	0.0197	0.0062	0	0.6153	0.9279	0.1715	26.01	2.24	28.24
545	2015-11-12	12.4	4.7	359	19.4	1447	0	6.5	1.4	120.5	2015	11	Ansan	60.2	0	0.625	2.779	0.316	0.818	0.158	0	1.141	0	0.098	7.286	0	3.751	0	0.363	1.614	0.184	0.475	0.092	0	0.663	0	0.057	4.233	0	2.179	0	0.111	0.616	0.033	0.287	0.032	0	0.131	0	0.005	0.47	0	0.314	0.0154	0.0006	0.0094	0.0386	0.0509	0.9111	0.0142	0.0014	0	0.4563	0.6206	0.139	15.13	1.9	17.03
545	2015-11-13	11.8	10.6	129	13.7	606	18	7.5	1.7	87.8	2015	11	Ansan	41.8	0	0.641	5.151	0.236	0.529	0.109	0	3.559	0	0.112	11.94	0	2.28	0	0.372	2.988	0.137	0.307	0.063	0	2.065	0	0.065	6.927	0	1.323	0	0.114	1.142	0.025	0.192	0.022	0	0.404	0	0.006	0.771	0	0.192	0.007	0.0004	0.0294	0.0287	0.1072	0.4777	0.0301	0.0007	0	0.1437	0.2718	0.0663	7.07	0.93	7.99
545	2015-12-08	0.4	-4.4	708	8	1348	0	4.5	0.8	295.6	2015	12	Ansan	142.8	0	1.088	14.592	1.053	0.177	2.142	0	12.109	0	0.292	31.912	0	9.916	0	0.62	8.318	0.6	0.101	1.221	0	6.902	0	0.166	18.19	0	5.652	0	0.192	3.236	0.109	0.076	0.428	0	1.368	0	0.015	2.059	0	0.827	0.0884	0.0036	0.0243	0.1959	0.1054	1.9815	0.0175	0.0141	0	0.9159	0.9217	0.227	32.44	1.68	34.12
545	2015-12-09	3.4	-4.4	256	12.8	1454	0	4.9	0.8	145.4	2015	12	Ansan	126.7	0	1.393	15.622	0.708	0.174	1.632	0	6.938	0	0.195	47.799	0	8.836	0	0.797	8.935	0.405	0.099	0.933	0	3.968	0	0.112	27.34	0	5.054	0	0.245	3.464	0.073	0.075	0.326	0	0.785	0	0.01	3.084	0	0.737	0.0448	0.0021	0.0148	0.0636	0.0653	1.4189	0.0119	0.0079	0	0.7027	0.9398	0.2019	33.23	1.67	34.9
545	2015-12-10	8.1	4.2	105	10.4	1438	0.5	6.3	1.2	285.9	2015	12	Ansan	86.9	0	0.795	12.46	0.541	0.104	0.923	0	4.967	0	0.181	33.257	0	8.042	0	0.457	7.154	0.311	0.06	0.53	0	2.852	0	0.104	19.096	0	4.618	0	0.141	2.763	0.056	0.052	0.185	0	0.562	0	0.01	2.146	0	0.671	0.0338	0.0024	0.011	0.0406	0.0514	1.2397	0.0149	0.0049	0	0.2817	0.4704	0.1091	21.88	6.72	28.61
545	2015-12-11	6.6	1.8	2355	13.3	1339	0	6.9	1.4	338.2	2015	12	Ansan	53.5	0	1.707	8.774	0.445	0.185	1.145	0	3.487	0	0.151	17.797	0	12.671	0	0.975	5.01	0.254	0.105	0.653	0	1.991	0	0.086	10.162	0	7.235	0	0.299	1.946	0.046	0.079	0.229	0	0.395	0	0.008	1.148	0	1.057	0.0325	0.0009	0.0117	0.0369	0.0517	1.5496	0.0059	0.0175	0	0.4613	0.5943	0.2011	5.73	3.57	9.3
545	2015-12-12	4.4	-2.8	738	10.6	1355	0	7	1	92.8	2015	12	Ansan	51.8	0	2.664	4.181	0.386	0.287	1.063	0	3.597	0	0.118	9.331	0	8.161	0	1.512	2.374	0.219	0.163	0.603	0	2.042	0	0.067	5.297	0	4.633	0	0.466	0.927	0.04	0.112	0.213	0	0.408	0	0.006	0.602	0	0.681	0.0186	0.0008	0.0065	0.0284	0.0253	0.8005	0.0036	0.0018	0	0.4112	0.5996	0.2591	6.13	1.68	7.81
545	2016-01-11	-3.2	-8.3	738	1.5	1413	0	8.5	1.2	277.5	2016	1	Ansan	51.1	0	0.668	5.301	0.741	0.281	1.716	0	3.415	0	0.124	13.519	0	6.455	0	0.377	2.988	0.418	0.158	0.967	0	1.925	0	0.07	7.62	0	3.638	0	0.119	1.175	0.077	0.11	0.343	0	0.387	0	0.007	0.872	0	0.539	0.042	0.0021	0.0111	0.0278	0.0702	1.2624	0.0046	0.0158	0	0.7936	0.8657	0.2813	4.98	5.21	10.19
545	2016-01-12	-4.2	-11.3	725	0.5	1334	0	7.8	1.7	264.4	2016	1	Ansan	57.3	0	0.642	5.371	0.573	0.202	1.698	0	6.721	0	0.185	8.767	0	5.032	0	0.36	3.013	0.321	0.113	0.952	0	3.77	0	0.104	4.918	0	2.823	0	0.114	1.191	0.06	0.084	0.339	0	0.76	0	0.01	0.566	0	0.421	0.0621	0.0057	0.0086	0.0368	0.0455	1.1333	0.0053	0.0075	0	0.8841	0.876	0.2453	4.88	4.57	9.45
545	2016-01-13	-3.3	-8.5	347	1.7	1312	2	9	1.5	297.4	2016	1	Ansan	70.7	0	1.184	6.746	0.58	0.4	1.546	0	5.188	0	0.146	15.131	0	9.137	0	0.66	3.761	0.323	0.223	0.862	0	2.892	0	0.081	8.435	0	5.094	0	0.208	1.496	0.06	0.15	0.309	0	0.587	0	0.008	0.976	0	0.763	0.044	0.002	0.0102	0.0955	0.0549	1.335	0.0074	0.0048	0	1.1701	0.9932	0.4424	6.78	1.37	8.15
545	2016-01-14	-4.6	-13.4	740	1.8	1453	0	4.4	0.7	46.7	2016	1	Ansan	76.9	0	1.357	6.936	0.602	0.487	1.637	0	5.106	0	0.139	19.151	0	7.832	0	0.755	3.862	0.335	0.271	0.912	0	2.843	0	0.078	10.664	0	4.361	0	0.238	1.538	0.063	0.178	0.327	0	0.578	0	0.007	1.236	0	0.654	0.0485	0.0015	0.0109	0.0326	0.0745	1.4503	0.0075	0.0052	0	1.1144	1.0225	0.5284	9	2.93	11.92
545	2016-01-15	-1.9	-7	759	4.5	1451	0	4.1	0.6	152.5	2016	1	Ansan	94.6	0	0.979	14.145	0.637	0.192	1.235	0	5.604	0	0.194	36.23	0	12.202	0	0.55	7.952	0.358	0.108	0.694	0	3.15	0	0.109	20.367	0	6.859	0	0.173	3.137	0.066	0.081	0.247	0	0.634	0	0.01	2.338	0	1.018	0.054	0.0016	0.01	0.0526	0.0643	1.0914	0.0257	0.005	0	0.6168	0.742	0.2451	15.18	0.91	16.08
545	2016-02-08	1.4	-8	548	7.6	1430	0	15.6	3.2	265.8	2016	2	Ansan	101	0	1.204	5.886	1.588	0.361	1.158	0	4.371	0	0.182	11.446	0	8.095	0	1.369	6.693	1.805	0.411	1.316	0	4.97	0	0.207	13.015	0	9.204	0	0.21	1.306	0.162	0.119	0.234	0	0.494	0	0.009	0.739	0	0.675	0.0663	0.0014	0.0115	0.0418	0.0376	1.3057	0.0073	0.005	0	1.625	1.6223	0.7293	4.63	9.72	14.35
545	2016-02-09	-0.1	-6.3	755	6.4	1328	0	10.6	2.4	300.4	2016	2	Ansan	48.7	0	0.503	2.961	1.543	0.305	0.523	0	3.523	0	0.155	4.231	0	4.66	0	0.571	3.359	1.751	0.346	0.594	0	3.997	0	0.176	4.8	0	5.286	0	0.088	0.657	0.158	0.101	0.107	0	0.398	0	0.008	0.274	0	0.389	0.0448	0.0008	0.0048	0.0321	0.0211	0.6408	0.0022	0.0104	0	1.0076	0.7137	0.5288	4.82	0.81	5.64
545	2016-02-10	0.1	-8.9	548	10.4	1451	0	5.3	0.8	57.8	2016	2	Ansan	67.3	0	0.418	2.983	0.707	0.163	0.712	0	1.204	0	0.123	7.95	0	3.322	0	0.474	3.386	0.802	0.185	0.808	0	1.367	0	0.139	9.023	0	3.77	0	0.073	0.662	0.072	0.054	0.145	0	0.137	0	0.006	0.514	0	0.277	0.026	0.001	0.006	0.0194	0.0325	0.6997	0.0097	0.005	0	0.6253	0.8879	0.2779	7.43	3.77	11.2
545	2016-02-11	7.4	-4.1	55	15.1	1517	1	7.1	2.1	98.7	2016	2	Ansan	62.7	0	0.502	5.914	0.78	0.191	0.518	0	5.635	0	0.194	9.398	0	4.137	0	0.582	6.864	0.905	0.222	0.601	0	6.54	0	0.225	10.909	0	4.802	0	0.088	1.312	0.08	0.063	0.106	0	0.636	0	0.01	0.607	0	0.345	0.0835	0.0023	0.0063	0.0477	0.0247	0.6948	0.0042	0.0098	0	0.6441	0.5685	0.2756	8.65	1.37	10.02
545	2016-02-12	8.9	6.2	22	10.7	1803	15.5	7.2	1.9	95.3	2016	2	Ansan	62.6	0	0.197	4.421	0.493	0.098	0.306	0	1.514	0	0.205	8.529	0	4.312	0	0.228	5.113	0.57	0.114	0.354	0	1.752	0	0.237	9.865	0	4.987	0	0.035	0.981	0.05	0.033	0.064	0	0.172	0	0.01	0.551	0	0.36	0.0229	0.001	0.0075	0.0142	0.0236	0.3813	0.021	0.0038	0	0.2614	0.2632	0.1212	11.05	1.46	12.51
545	2016-03-07	6.4	0.7	418	11.8	1320	0	5.4	1.1	255.9	2016	3	Ansan	141.7	0	0.853	6.652	0.348	0.289	2.472	0	13.051	0	0.406	6.471	0	5.03	0	0.985	7.676	0.402	0.334	2.853	0	15.06	0	0.468	7.467	0	5.804	0	0.149	1.475	0.036	0.095	0.496	0	1.473	0	0.021	0.418	0	0.42	0.1384	0.0222	0.0315	0.0848	0.1299	3.5593	0.0184	0.0051	0.0001	3.2456	3.4083	1.4748	8.55	5.09	13.63
545	2016-03-08	2.8	-0.4	2353	5.8	318	0	10	2.2	282.3	2016	3	Ansan	77	0	0.463	2.255	0.211	0.182	1.072	0	1.583	0	0.119	4.245	0	3.914	0	0.527	2.564	0.24	0.207	1.219	0	1.799	0	0.136	4.827	0	4.45	0	0.081	0.5	0.022	0.06	0.216	0	0.179	0	0.006	0.275	0	0.327	0.0565	0.0018	0.0105	0.0348	0.0745	2.1949	0.0071	0.0158	0	2.0293	1.8995	0.8048	4.93	3.2	8.13
545	2016-03-09	1.4	-1.1	644	6.2	1359	0	10.7	2.5	282	2016	3	Ansan	55.5	0	0.4	1.588	0.194	0.131	0.867	0	1.066	0	0.111	3.302	0	2.653	0	0.451	1.787	0.218	0.147	0.976	0	1.199	0	0.125	3.717	0	2.986	0	0.07	0.352	0.02	0.043	0.175	0	0.121	0	0.006	0.214	0	0.222	0.0313	0.0009	0.0074	0.0549	0.0605	1.4331	0.0045	0.0092	0	1.2165	1.6615	0.429	3.94	2.8	6.75
545	2016-03-10	0.7	-2.4	502	4.4	1428	0	17.5	2.6	287	2016	3	Ansan	48.6	0	0.383	1.715	0.219	0.14	0.746	0	1.245	0	0.111	3.256	0	2.641	0	0.43	1.924	0.246	0.157	0.838	0	1.397	0	0.125	3.653	0	2.963	0	0.067	0.38	0.022	0.046	0.151	0	0.141	0	0.006	0.211	0	0.221	0.0393	0.0012	0.007	0.0775	0.0511	1.3956	0.0053	0.0059	0	1.0008	1.3458	0.3846	4.61	1.46	6.06
545	2016-03-11	-0.3	-5.8	645	4.2	1330	0	10.1	2.3	260.1	2016	3	Ansan	53	0	0.437	3.448	0.24	0.201	0.681	0	3.378	0	0.144	4.713	0	3.495	0	0.49	3.871	0.269	0.225	0.765	0	3.793	0	0.162	5.292	0	3.924	0	0.077	0.765	0.025	0.066	0.138	0	0.382	0	0.007	0.305	0	0.292	0.0696	0.0017	0.0091	0.046	0.0453	1.1781	0.007	0.0059	0	0.8653	0.9248	0.4598	6.02	1.6	7.62
545	2016-04-04	10.2	1.7	622	19	1229	0	8.7	1.8	268.7	2016	4	Ansan	43.7	0	1.005	9.817	0.606	0.342	2.022	0	13.316	0	0.35	16.472	0	7.594	0	0.258	2.524	0.156	0.088	0.52	0	3.423	0	0.09	4.235	0	1.952	0	0.176	2.178	0.062	0.113	0.412	0	1.505	0	0.018	1.065	0	0.635	0.0762	0.0014	0.0181	0.052	0.0481	1.1408	0.0127	0.014	0	0.8754	0.8801	0.2906	5.51	1.79	7.29
545	2016-04-05	9	0.5	537	18.2	1415	0	9.1	1.8	266.3	2016	4	Ansan	58.5	0	1.308	10.306	0.565	0.408	2.375	0	8.768	0	0.206	23.145	0	11.478	0	0.336	2.643	0.145	0.105	0.609	0	2.249	0	0.053	5.937	0	2.944	0	0.228	2.286	0.058	0.134	0.482	0	0.992	0	0.011	1.495	0	0.958	0.0422	0.0016	0.0167	0.0811	0.0465	1.3858	0.0158	0.0041	0	1.3289	1.0862	0.4552	5.1	1.07	6.17
545	2016-04-06	13.1	1.9	609	23.5	1542	5	6.1	1.2	263.1	2016	4	Ansan	102.3	0	0.993	24.006	1.166	0.44	3.336	0	7.838	0	0.276	72.432	0	23.684	0	0.258	6.24	0.303	0.114	0.867	0	2.037	0	0.072	18.827	0	6.156	0	0.174	5.324	0.119	0.145	0.674	0	0.887	0	0.015	4.675	0	1.975	0.0467	0.0019	0.015	0.0621	0.0567	1.6234	0.0183	0.005	0	1.2806	1.4877	0.4436	7.77	5.62	13.39
545	2016-04-07	12.4	7.7	2304	18.9	1218	6.5	11.8	2.5	287.8	2016	4	Ansan	73.8	0	1.156	24.217	0.702	0.308	1.896	0	18.069	0	0.401	58.925	0	17.193	0	0.3	6.277	0.182	0.08	0.491	0	4.684	0	0.104	15.274	0	4.456	0	0.202	5.371	0.072	0.101	0.386	0	2.041	0	0.021	3.803	0	1.434	0.0414	0.0015	0.0163	0.0497	0.0549	1.0286	0.0115	0.0063	0	0.5895	0.8061	0.2365	7.29	1.39	8.68
