"","x"
"1",6.29659774349742
"2",4.33311616392346
"3",1.49048026329315
"4",0.654491591508728
"5",0.321371718274577
"6",0.214463763019536
"7",0.206612318654789
"8",0.150172719032613
"9",0.0545124035525925
"10",0.0382703384333711
"11",0.0289458330090403
"12",0.0153859364980682
"13",0.00126603684411303
