Start_Date,Assign_ID,Weight_Result
2018-06-02 17:31,5J08455,156.239 
2018-06-02 17:51,5J08456,153.841 
2018-06-02 18:13,5J08457,153.663 
2018-06-02 18:34,5J08458,155.129 
2018-06-02 18:55,5J08459,151.759 
2018-06-02 19:15,5J08460,152.101 
2018-06-02 19:35,5J08461,147.615 
2018-06-02 19:56,5J08462,149.608 
2018-06-02 20:18,5J08463,151.159 
2018-06-02 20:38,5J08464,151.444 
2018-06-02 20:59,7K09324,158.712 
2018-06-02 21:21,7K09325,157.478 
2018-06-02 21:42,7K09326,159.290 
2018-06-02 22:03,7K09327,158.150 
2018-06-02 22:23,7K09328,158.512 
2018-06-02 22:44,7K09329,158.573 
2018-06-02 23:04,7K09330,157.717 
2018-06-02 23:25,7K09331,158.468 
2018-06-02 23:46,7K09874,158.457 
2018-06-03 0:06,7K09875,156.680 
2018-06-03 0:27,7K09876,157.477 
2018-06-03 0:48,7K09877,157.652 
2018-06-03 1:09,7K09878,156.561 
2018-06-03 1:30,7K09879,157.442 
2018-06-03 1:51,7K09880,157.981 
2018-06-03 2:11,7K09881,158.040 
2018-06-03 2:32,7K09310,158.643 
2018-06-03 2:54,7K09311,157.441 
2018-06-03 3:14,7K09891,156.306 
2018-06-03 3:36,7K09892,156.850 
2018-06-03 3:58,7K09893,156.813 
2018-06-03 4:19,7K09894,159.077 
2018-06-03 4:39,7K09895,157.953 
2018-06-03 5:01,7K09896,158.757 
2018-06-03 5:22,7K09340,156.919 
2018-06-03 5:42,7K09341,159.474 
2018-06-03 6:03,7K09342,160.226 
2018-06-03 6:24,7K09343,160.383 
2018-06-03 6:45,7K09344,160.375 
2018-06-03 7:05,7K09345,160.014 
2018-06-03 7:26,7K09346,161.507 
2018-06-03 7:47,7K09347,161.159 
2018-06-03 8:08,7K09348,161.528 
2018-06-03 9:04,7K09349,160.701 
2018-06-03 9:25,7K09350,159.654 
2018-06-04 13:43,7K09801,157.218 
2018-06-04 14:06,7K09802,157.693 
2018-06-04 14:27,7K09803,157.931 
2018-06-04 14:47,7K09804,158.952 
2018-06-04 15:08,7K09805,159.691 
2018-06-04 15:28,7K09806,160.075 
2018-06-04 15:48,7K09807,159.685 
