Start_Date,Assign_ID,Weight_Result
2018-05-08 12:52,5S28381,157.4998
2018-05-08 13:13,5S28382,158.1375
2018-05-08 13:34,5S28383,159.7345
2018-05-08 13:55,5S28384,160.8438
2018-05-08 14:16,5S28385,159.1567
2018-05-08 14:37,5S28386,160.6452
2018-05-08 14:58,5S28387,160.373
2018-05-08 15:19,5S28388,159.4937
2018-05-08 15:41,5S28351,162.5192
2018-05-08 16:02,5S28352,162.393
2018-05-08 16:23,5S28353,159.9042
2018-05-08 16:45,5S28354,161.1197
2018-05-08 17:06,5S28355,160.9023
2018-05-08 17:27,5S28356,160.4442
2018-05-08 17:48,5S28357,160.9787
2018-05-08 18:09,5S28358,160.7313
2018-05-08 18:31,5S28359,160.1738
2018-05-08 18:54,5S28360,159.3147
2018-05-08 19:16,7S16140,157.0617
2018-05-08 19:38,7S16751,156.7182
2018-05-08 19:59,7S16752,157.031
2018-05-08 20:19,7S16753,157.951
2018-05-08 20:41,7S16754,157.2103
2018-05-08 21:02,7S16755,158.4343
2018-05-08 21:23,7S16756,157.559
2018-05-08 21:44,7S16757,159.7027
2018-05-08 22:06,7S16758,159.4905
2018-05-08 22:27,7S16759,157.8548
2018-05-08 22:49,7S16760,159.0658
2018-05-08 23:11,7S16761,159.4667
2018-05-08 23:32,7S16762,157.6058
2018-05-08 23:53,7S16763,159.4222
2018-05-09 0:14,7S16764,160.57
2018-05-09 0:35,7S16765,160.5268
2018-05-09 0:56,7S16766,157.8745
2018-05-10 1:15,7S16651,157.6292
2018-05-10 1:37,7S16652,157.6995
2018-05-10 1:58,7S16653,157.5267
2018-05-10 2:20,7S16654,158.9278
2018-05-10 2:41,7S16655,159.6307
2018-05-10 3:02,7S16656,157.203
2018-05-10 3:24,7S16657,157.9213
2018-05-10 3:45,7S16658,158.1072
2018-05-10 4:07,7S16659,159.6035
2018-05-10 4:29,7S16660,158.731
2018-05-10 4:50,7S16661,159.23
2018-05-10 5:11,7S16662,158.3523
2018-05-10 5:32,7S16663,158.4022
2018-05-10 5:52,7S16664,159.0705
2018-05-10 6:14,7S16665,157.9457
2018-05-10 6:38,7S16666,157.0095
2018-05-10 6:59,7S16667,158.2365
2018-05-10 7:20,7S16668,159.1045
2018-05-10 7:42,7S16669,156.7693
2018-05-10 8:03,7S16670,157.7833
2018-05-10 8:25,7S16671,158.3887
2018-05-10 8:46,7S16672,158.1138
2018-05-10 9:07,7S16673,158.2118
2018-05-10 9:28,7S16696,160.003
2018-05-10 9:50,7S16697,160.0583
2018-05-10 10:11,7S16698,158.5448
2018-05-10 10:32,7S16699,158.9623
2018-05-10 10:54,7S16700,158.1237
2018-05-10 11:15,7S16851,159.5797
2018-05-10 11:36,7S16852,159.9137
2018-05-10 11:58,7S16853,158.6677
2018-05-10 12:18,7S16854,156.1998
2018-05-11 5:06,7S16501,157.5562
2018-05-11 5:27,7S16502,157.889
2018-05-11 5:48,7S16503,158.0038
2018-05-11 6:09,7S16504,157.3762
2018-05-11 6:30,7S16505,158.9255
2018-05-11 6:52,7S16377,157.6652
2018-05-11 7:13,7S16378,159.122
2018-05-11 7:34,7S16379,160.021
2018-05-11 7:56,7S16380,160.0507
2018-05-11 8:19,7S16381,157.5112
2018-05-11 8:40,7S16382,158.5063
2018-05-11 9:01,7S16383,156.9405
2018-05-11 9:23,7S16384,158.6162
2018-05-11 9:46,7S16385,157.7028
2018-05-11 10:06,7S16386,159.6535
2018-05-11 10:27,7S16387,156.7763
2018-05-11 10:49,7S16388,156.4438
2018-05-11 11:10,7S16389,156.5422
2018-05-11 11:31,7S16390,158.0138
2018-05-11 11:52,7S16391,156.4952
2018-05-11 12:14,7S16392,159.2473
2018-05-11 12:36,7S16393,158.628
2018-05-11 12:58,7S16394,157.6795
2018-05-11 13:20,7S16395,159.1635
2018-05-11 13:42,7S16396,158.0782
2018-05-11 14:03,7S16397,159.1963
2018-05-11 14:24,7S16398,157.0788
2018-05-11 14:47,7S16399,155.2483
2018-05-11 15:08,7S16400,155.5422
2018-05-14 9:22,5S28393,160.096
2018-05-14 9:43,5S28394,159.5237
2018-05-14 10:04,5S28395,160.5558
2018-05-14 10:25,5S28396,162.0947
2018-05-14 10:47,5S28397,160.556
2018-05-14 11:09,6C01151,160.8032
2018-05-14 11:30,6C01152,159.4353
2018-05-14 11:52,6C01153,154.6475
2018-05-14 12:12,6C01154,154.1403
2018-05-14 12:34,6C01155,154.5985
2018-05-14 12:57,6C01156,161.499
2018-05-15 18:28,7S16855,158.7602
2018-05-15 18:49,7S16856,158.8088
