Start_Date,Assign_ID,Weight_Result
2018-06-02 17:31,5J08455,156.2388
2018-06-02 17:51,5J08456,153.841
2018-06-02 18:13,5J08457,153.6625
2018-06-02 18:34,5J08458,155.1292
2018-06-02 18:55,5J08459,151.7588
2018-06-02 19:15,5J08460,152.1012
2018-06-02 19:35,5J08461,147.6152
2018-06-02 19:56,5J08462,149.6075
2018-06-02 20:18,5J08463,151.1585
2018-06-02 20:38,5J08464,151.4443
2018-06-02 20:59,7K09324,158.7123
2018-06-02 21:21,7K09325,157.4782
2018-06-02 21:42,7K09326,159.2902
2018-06-02 22:03,7K09327,158.1498
2018-06-02 22:23,7K09328,158.5118
2018-06-02 22:44,7K09329,158.5732
2018-06-02 23:04,7K09330,157.717
2018-06-02 23:25,7K09331,158.4677
2018-06-02 23:46,7K09874,158.4567
2018-06-03 0:06,7K09875,156.6803
2018-06-03 0:27,7K09876,157.4768
2018-06-03 0:48,7K09877,157.6522
2018-06-03 1:09,7K09878,156.5607
2018-06-03 1:30,7K09879,157.4422
2018-06-03 1:51,7K09880,157.9812
2018-06-03 2:11,7K09881,158.0398
2018-06-03 2:32,7K09310,158.6425
2018-06-03 2:54,7K09311,157.4408
2018-06-03 3:14,7K09891,156.3062
2018-06-03 3:36,7K09892,156.8497
2018-06-03 3:58,7K09893,156.8128
2018-06-03 4:19,7K09894,159.0765
2018-06-03 4:39,7K09895,157.953
2018-06-03 5:01,7K09896,158.7568
2018-06-03 5:22,7K09340,156.9193
2018-06-03 5:42,7K09341,159.4743
2018-06-03 6:03,7K09342,160.2263
2018-06-03 6:24,7K09343,160.3828
2018-06-03 6:45,7K09344,160.3748
2018-06-03 7:05,7K09345,160.0143
2018-06-03 7:26,7K09346,161.5072
2018-06-03 7:47,7K09347,161.159
2018-06-03 8:08,7K09348,161.5283
2018-06-03 9:04,7K09349,160.701
2018-06-03 9:25,7K09350,159.6543
2018-06-04 13:43,7K09801,157.2177
2018-06-04 14:06,7K09802,157.6927
2018-06-04 14:27,7K09803,157.9307
2018-06-04 14:47,7K09804,158.9517
2018-06-04 15:08,7K09805,159.6905
2018-06-04 15:28,7K09806,160.0745
2018-06-04 15:48,7K09807,159.6845
2018-06-04 16:08,7K09808,158.815
2018-06-04 16:29,7K09809,157.8083
2018-06-04 16:49,7K09810,157.2085
2018-06-04 17:10,7K09811,158.4652
2018-06-04 17:30,7K09812,166.1888
2018-06-04 17:51,7K09813,164.5842
2018-06-04 18:12,7K09814,162.8735
2018-06-04 18:32,7K09815,159.5987
2018-06-04 18:53,7K09816,158.2615
2018-06-04 19:13,7K09817,157.0818
2018-06-04 19:34,7K09831,157.5165
2018-06-04 19:54,7K09832,157.601
2018-06-04 20:14,7K09833,158.0743
2018-06-04 20:37,7K09834,158.4995
2018-06-04 20:57,7K09835,158.5275
2018-06-04 21:18,7K09836,157.705
2018-06-04 21:39,7K09837,158.022
2018-06-04 22:00,7K09838,158.3343
2018-06-04 22:20,7K09839,159.1787
2018-06-04 22:40,7K09840,158.304
