"Time.N","Assign_ID","Wgt.N"
"2018-05-05 11:40","7P14678",158.8627
"2018-05-05 12:01","7P14679",158.878
"2018-05-05 12:24","7P14680",158.7915
"2018-05-05 12:45","7P14681",157.2135
"2018-05-05 13:07","7P14682",156.8895
"2018-05-05 13:29","7P14683",157.4798
"2018-05-05 13:50","7P14684",157.5057
"2018-05-05 14:12","7P14685",158.4693
"2018-05-05 14:34","7P14686",157.173
"2018-05-05 14:55","7P14687",157.4033
"2018-05-05 15:17","7P14688",157.378
"2018-05-05 15:38","7P14689",157.2247
"2018-05-05 15:59","7P14690",157.7813
"2018-05-05 16:22","7P14691",158.416
"2018-05-05 16:43","7P14692",157.1095
"2018-05-05 17:04","7P14693",158.6335
"2018-05-05 17:26","7P14694",158.6533
"2018-05-05 17:47","7P14695",157.7877
"2018-05-05 18:08","7P14696",158.0438
"2018-05-05 18:30","7P14697",157.3868
"2018-05-05 18:51","7P14698",157.9633
"2018-05-05 19:13","7P14699",158.0578
"2018-05-05 19:34","7P14700",157.4728
"2018-05-05 19:55","6B29851",155.4122
"2018-05-05 20:17","6B29852",159.0012
"2018-05-05 20:39","6B29853",158.4428
"2018-05-05 21:00","6B29854",158.4877
"2018-05-05 21:22","6B29855",154.8077
"2018-05-05 21:44","6B29856",156.4275
"2018-05-05 22:06","6B29857",157.1473
"2018-05-07 17:11","6B29858",154.9357
"2018-05-07 17:32","6B29860",156.0165
"2018-05-07 17:53","6B29861",155.7675
"2018-05-07 18:13","6B29862",154.2525
"2018-05-07 18:33","6B29863",154.35
"2018-05-07 18:54","6B29864",153.6382
"2018-05-07 19:16","6B29865",154.1827
"2018-05-07 19:37","6B29866",153.5583
"2018-05-07 19:58","6B29867",154.9583
"2018-05-07 20:20","6B29868",155.2807
"2018-05-07 20:41","6B29869",155.3992
"2018-05-07 21:02","6B29870",153.7477
"2018-05-07 21:23","6B29871",153.9293
"2018-05-09 11:22","6B29872",154.7753
"2018-05-09 11:43","6B29873",153.9017
"2018-05-09 12:04","6B29874",154.7782
"2018-05-09 12:25","6B29875",154.5947
"2018-05-09 12:47","6B29876",156.6662
"2018-05-09 13:09","6B29877",156.2485
"2018-05-09 13:30","6B29878",156.2268
"2018-05-09 13:51","6B29879",156.7598
"2018-05-09 14:12","6B29880",156.3627
"2018-05-09 14:33","6B29881",155.7118
"2018-05-09 14:55","6B29882",156.2973
"2018-05-09 15:16","6B29883",156.0555
"2018-05-09 15:37","6B29884",154.8858
"2018-05-09 15:59","6B29885",155.2087
"2018-05-09 16:20","6B29886",163.391
"2018-05-09 16:41","6B29887",155.6835
"2018-05-09 17:02","6B29888",153.4408
"2018-05-09 17:22","6B29889",154.6035
"2018-05-09 17:45","6B29890",154.2067
"2018-05-09 18:07","6B29891",153.8921
"2018-05-09 18:29","6B29892",153.498
"2018-05-09 18:50","6B29893",154.5245
"2018-05-09 19:11","6B29894",154.8438
"2018-05-09 19:32","6B29895",154.051
"2018-05-09 19:54","6B29896",154.9587
"2018-05-09 20:16","6B29897",154.7377
"2018-05-09 20:37","6B29898",155.8737
"2018-05-09 20:58","6B29899",155.7728
"2018-05-09 21:19","6B29900",154.5495
"2018-05-09 21:40","7S18301",158.9087
"2018-05-09 22:02","7S18302",158.15
"2018-05-09 22:24","7S18303",160.1465
"2018-05-09 22:44","7S18304",158.0582
"2018-05-09 23:06","7S18305",158.3763
"2018-05-09 23:28","7S18306",158.0097
"2018-05-09 23:48","7S18307",158.6828
"2018-05-10 0:12","7S18308",156.2908
"2018-05-10 0:33","7S18309",157.921
"2018-05-10 0:54","7S18310",158.7773
"2018-05-10 15:02","7S18311",158.3415
"2018-05-10 15:26","7S18312",157.4432
"2018-05-10 15:46","7S18313",158.2835
"2018-05-10 16:06","7S18314",156.1558
"2018-05-10 16:26","7S18315",157.2725
"2018-05-10 16:47","7S18316",158.725
"2018-05-10 17:08","7S18317",159.1022
"2018-05-10 17:29","7S18318",159.4067
"2018-05-10 17:49","7S18319",156.712
"2018-05-10 18:10","7S18320",158.5837
"2018-05-10 18:31","7S18321",158.492
"2018-05-10 18:52","7S18322",158.1985
"2018-05-10 19:16","7S18323",157.8578
"2018-05-10 19:37","7S18324",159.1125
"2018-05-10 19:58","7S18325",158.2888
"2018-05-10 20:19","7S18326",158.3322
"2018-05-10 20:40","7S18327",158.7697
"2018-05-10 21:01","7S18328",158.1508
"2018-05-10 21:22","7S18329",157.1865
"2018-05-10 21:42","7S18330",159.1853
"2018-05-10 22:03","7S18331",159.9683
"2018-05-10 22:23","7S18332",159.715
"2018-05-10 22:44","7S18333",156.8382
"2018-05-10 23:06","7S18334",158.6218
"2018-05-10 23:27","7S18335",158.9717
"2018-05-10 23:49","7S18336",159.7282
"2018-05-11 0:09","7S18337",158.185
"2018-05-11 0:30","7S18338",157.8592
"2018-05-11 0:51","7S18339",160.1723
"2018-05-11 1:12","7S18340",160.0058
"2018-05-11 1:33","7S18341",159.7125
"2018-05-11 1:56","7S18342",158.9067
"2018-05-11 2:17","7S18343",160.8083
"2018-05-11 2:38","7S18344",160.0152
"2018-05-11 2:59","7S18345",158.5033
"2018-05-11 3:20","7S18346",159.267
"2018-05-11 3:41","7S18347",158.7713
"2018-05-11 4:02","7S18348",159.2215
"2018-05-11 4:23","7S18349",158.8395
"2018-05-11 4:45","7S18350",159.761
"2018-05-11 16:57","7K09151",157.0703
"2018-05-11 17:18","7K09152",157.6195
"2018-05-11 17:39","7K09153",157.2222
"2018-05-11 18:00","7K09154",157.2675
"2018-05-11 18:20","7K09155",157.1227
"2018-05-11 18:41","7K09156",156.558
"2018-05-11 19:02","7K09157",159.9332
"2018-05-11 19:24","7K09158",160.3007
"2018-05-11 19:45","7K09159",159.1077
"2018-05-11 20:07","7K09160",159.3458
"2018-05-11 20:29","7K09161",159.4127
"2018-05-11 20:50","7K09162",158.5008
"2018-05-11 21:13","7K09163",159.7948
"2018-05-11 21:35","7K09164",160.5905
"2018-05-11 21:56","7K09165",157.0308
"2018-05-11 22:17","7K09166",157.6027
"2018-05-11 22:38","7K09167",157.1813
"2018-05-11 22:59","7K09168",158.678
"2018-05-11 23:19","7K09169",157.3668
"2018-05-11 23:40","7K09170",159.0142
"2018-05-12 0:02","7K09171",159.2558
"2018-05-12 0:23","7K09172",159.8775
"2018-05-12 0:45","7K09173",159.3352
"2018-05-12 1:05","7K09174",159.4542
"2018-05-12 1:27","7K09175",159.295
"2018-05-12 1:48","7K09176",159.3423
"2018-05-12 2:09","7K09177",159.2062
"2018-05-12 2:31","7K09178",160.1107
"2018-05-12 2:52","7K09179",159.7957
"2018-05-12 3:13","7K09180",159.1248
"2018-05-12 3:36","7K09181",159.3033
"2018-05-12 3:57","7K09182",160.7595
"2018-05-12 4:18","7K09183",161.1503
"2018-05-12 4:40","7K09184",161.7212
"2018-05-12 5:01","7K09185",161.0457
"2018-05-12 5:22","7K09186",157.5568
"2018-05-12 5:43","7K09187",157.2165
"2018-05-12 6:04","7K09188",160.6793
"2018-05-13 18:55","7K09190",159.805
"2018-05-13 19:17","7K09191",159.857
"2018-05-13 19:37","7K09192",158.7973
"2018-05-13 19:59","7K09193",157.544
"2018-05-13 20:21","7K09194",158.7435
"2018-05-13 20:42","7K09195",159.0863
"2018-05-13 21:02","7K09196",159.191
"2018-05-13 21:23","7K09197",159.1522
"2018-05-13 21:44","7K09198",158.8922
"2018-05-13 22:05","7K09199",158.7593
"2018-05-13 22:26","7K09200",158.882
"2018-05-13 22:46","7K09701",157.5753
"2018-05-13 23:07","7K09702",157.3272
"2018-05-13 23:27","7K09189",159.9998
"2018-05-13 23:48","7K09703",157.819
"2018-05-14 0:12","7K09704",158.1855
"2018-05-14 0:33","7K09705",157.1423
"2018-05-14 0:54","7K09706",156.109
"2018-05-14 1:15","7K09707",156.5993
"2018-05-14 1:36","7K09708",156.3798
"2018-05-14 1:57","7K09709",156.1503
"2018-05-14 2:19","7K09710",157.5305
"2018-05-14 2:39","7K09711",157.6767
"2018-05-14 3:00","7K09712",156.3293
"2018-05-14 3:22","7K09713",156.7225
"2018-05-14 3:43","7K09714",156.7448
"2018-05-14 4:04","7K09715",157.024
"2018-05-14 4:26","7K09716",157.8815
"2018-05-14 4:47","7K09717",157.8487
"2018-05-14 5:08","7K09718",158.0123
"2018-05-14 5:29","7K09719",157.7077
"2018-05-14 5:50","7K09720",157.8433
"2018-05-14 6:10","7K09721",157.3037
"2018-05-14 6:33","7K09722",157.9778
"2018-05-14 6:54","7K09723",157.5523
"2018-05-14 7:15","7K09724",157.3542
"2018-05-14 7:37","7K09725",156.8873
"2018-05-14 7:57","7K09726",158.3963
"2018-05-14 8:19","7K09727",158.718
"2018-05-14 8:40","7K09728",157.6352
"2018-05-14 9:00","7K09729",158.6057
"2018-05-14 16:14","7K09730",157.8995
"2018-05-14 16:36","7K09731",157.5812
"2018-05-14 16:57","7K09732",158.8665
"2018-05-14 17:17","7K09733",157.6472
"2018-05-14 17:38","7K09734",156.9862
"2018-05-14 17:59","7K09735",158.4093
"2018-05-14 18:20","7K09736",158.0527
"2018-05-14 18:41","7K09737",157.7183
"2018-05-14 19:02","7K09738",157.7018
"2018-05-14 19:25","7K09739",158.3413
"2018-05-14 19:47","7K09740",158.0183
"2018-05-14 20:09","7K09741",157.5373
"2018-05-14 20:30","7K09742",158.3555
"2018-05-14 20:51","7K09743",157.1422
"2018-05-14 21:12","7K09744",156.527
"2018-05-14 21:33","7K09745",158.0642
"2018-05-14 21:54","7K09746",157.5598
"2018-05-14 22:15","7K09747",157.7928
"2018-05-14 22:36","7K09748",157.711
"2018-05-14 22:56","7K09749",158.118
"2018-05-14 23:16","7K09750",156.5373
"2018-05-14 23:37","7K09851",157.5678
"2018-05-14 23:59","7K09852",158.4993
"2018-05-15 0:20","7K09853",158.11
"2018-05-15 0:42","7K09854",158.861
"2018-05-15 1:04","7K09855",159.6567
"2018-05-15 1:25","7K09856",159.8932
"2018-05-15 1:49","7K09857",157.6123
"2018-05-15 2:10","7K09858",158.0238
"2018-05-15 2:30","7K09859",159.1817
"2018-05-15 2:51","7K09860",158.2923
"2018-05-15 3:12","7K09861",159.0797
"2018-05-15 3:33","7K09862",159.7123
"2018-05-15 3:54","7K09863",159.7673
"2018-05-15 4:16","7K09864",158.0135
"2018-05-15 4:37","7K09865",159.18
"2018-05-15 4:58","7K09866",158.38
"2018-05-15 5:20","7K09867",162.34
"2018-05-15 5:41","7K09868",160.1468
"2018-05-15 6:03","7K09869",161.1717
"2018-05-15 6:24","7K09870",160.559
"2018-05-15 6:46","7K09871",160.1572
"2018-05-15 7:08","7K09872",158.4967
