"Time.S","Assign_ID","Wgt.S"
"2018-05-08 12:31","5S28380",160.286
"2018-05-08 12:52","5S28381",157.5
"2018-05-08 13:13","5S28382",158.138
"2018-05-08 13:34","5S28383",159.735
"2018-05-08 13:55","5S28384",160.844
"2018-05-08 14:16","5S28385",159.157
"2018-05-08 14:37","5S28386",160.645
"2018-05-08 14:58","5S28387",160.373
"2018-05-08 15:19","5S28388",159.494
"2018-05-08 15:41","5S28351",162.519
"2018-05-08 16:02","5S28352",162.393
"2018-05-08 16:23","5S28353",159.904
"2018-05-08 16:45","5S28354",161.12
"2018-05-08 17:06","5S28355",160.902
"2018-05-08 17:27","5S28356",160.444
"2018-05-08 17:48","5S28357",160.979
"2018-05-08 18:09","5S28358",160.731
"2018-05-08 18:31","5S28359",160.174
"2018-05-08 18:54","5S28360",159.315
"2018-05-08 19:16","7S16140",157.062
"2018-05-08 19:38","7S16751",156.718
"2018-05-08 19:59","7S16752",157.031
"2018-05-08 20:19","7S16753",157.951
"2018-05-08 20:41","7S16754",157.21
"2018-05-08 21:02","7S16755",158.434
"2018-05-08 21:23","7S16756",157.559
"2018-05-08 21:44","7S16757",159.703
"2018-05-08 22:06","7S16758",159.491
"2018-05-08 22:27","7S16759",157.855
"2018-05-08 22:49","7S16760",159.066
"2018-05-08 23:11","7S16761",159.467
"2018-05-08 23:32","7S16762",157.606
"2018-05-08 23:53","7S16763",159.422
"2018-05-09 0:14","7S16764",160.57
"2018-05-09 0:35","7S16765",160.527
"2018-05-09 0:56","7S16766",157.875
"2018-05-10 1:15","7S16651",157.629
"2018-05-10 1:37","7S16652",157.7
"2018-05-10 1:58","7S16653",157.527
"2018-05-10 2:20","7S16654",158.928
"2018-05-10 2:41","7S16655",159.631
"2018-05-10 3:02","7S16656",157.203
"2018-05-10 3:24","7S16657",157.921
"2018-05-10 3:45","7S16658",158.107
"2018-05-10 4:07","7S16659",159.604
"2018-05-10 4:29","7S16660",158.731
"2018-05-10 4:50","7S16661",159.23
"2018-05-10 5:11","7S16662",158.352
"2018-05-10 5:32","7S16663",158.402
"2018-05-10 5:52","7S16664",159.071
"2018-05-10 6:14","7S16665",157.946
"2018-05-10 6:38","7S16666",157.01
"2018-05-10 6:59","7S16667",158.237
"2018-05-10 7:20","7S16668",159.105
"2018-05-10 7:42","7S16669",156.769
"2018-05-10 8:03","7S16670",157.783
"2018-05-10 8:25","7S16671",158.389
"2018-05-10 8:46","7S16672",158.114
"2018-05-10 9:07","7S16673",158.212
"2018-05-10 9:28","7S16696",160.003
"2018-05-10 9:50","7S16697",160.058
"2018-05-10 10:11","7S16698",158.545
"2018-05-10 10:32","7S16699",158.962
"2018-05-10 10:54","7S16700",158.124
"2018-05-10 11:15","7S16851",159.58
"2018-05-10 11:36","7S16852",159.914
"2018-05-10 11:58","7S16853",158.668
"2018-05-10 12:18","7S16854",156.2
"2018-05-11 5:06","7S16501",157.556
"2018-05-11 5:27","7S16502",157.889
"2018-05-11 5:48","7S16503",158.004
"2018-05-11 6:09","7S16504",157.376
"2018-05-11 6:30","7S16505",158.926
"2018-05-11 6:52","7S16377",157.665
"2018-05-11 7:13","7S16378",159.122
"2018-05-11 7:34","7S16379",160.021
"2018-05-11 7:56","7S16380",160.051
"2018-05-11 8:19","7S16381",157.511
"2018-05-11 8:40","7S16382",158.506
"2018-05-11 9:01","7S16383",156.941
"2018-05-11 9:23","7S16384",158.616
"2018-05-11 9:46","7S16385",157.703
"2018-05-11 10:06","7S16386",159.654
"2018-05-11 10:27","7S16387",156.776
"2018-05-11 10:49","7S16388",156.444
"2018-05-11 11:10","7S16389",156.542
"2018-05-11 11:31","7S16390",158.014
"2018-05-11 11:52","7S16391",156.495
"2018-05-11 12:14","7S16392",159.247
"2018-05-11 12:36","7S16393",158.628
"2018-05-11 12:58","7S16394",157.68
